Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Available/Capacity,Credits,Academic Level,Monday,Tuesday,Wednesday,Thursday,Friday,Lecture,Lab,Seminar,DE,Morning,Afternoon,# of Meetings
Fall 2022,Open,CHEM*7310*01 (7149) Select Topics in Biochemistry,Guelph,"['LEC Thur\n07:00PM - 09:50PM\nMACN, Room 203']",M. Monteiro,5 / 10,0.50,Graduate,,,,Yes,,Yes,,,,,Yes,1
Fall 2022,Open,CHEM*7310*02 (7150) Select Topics in Biochemistry,Guelph,"['LEC Mon, Wed, Fri\n08:30AM - 09:20AM\nMCKN, Room 228']",D. O'Flaherty,6 / 9,0.50,Graduate,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,3
Fall 2022,Open,CHEM*7310*03 (0478) ST: Rational Drug Design,Guelph,"['LEC Mon, Wed\n01:30PM - 02:20PM\nAD-S, Room VIRTUAL', 'LEC Fri\n01:30PM - 03:20PM\nAD-S, Room VIRTUAL']",S. Kalyaanamoorthy,9 / 10,0.50,Graduate,Yes,,Yes,,Yes,Yes,,,,,Yes,3
Fall 2022,Closed,CHEM*7310*AU02 (0499) Select Topics in Biochemistry,Guelph,[],TBA  TBA,0 / 0,0.00,Graduate,,,,,,,,,,,,0
Fall 2022,Open,CHEM*7600*01 (7151) Topics in Organic Chemistry,Guelph,"['LEC Wed\n07:00PM - 09:50PM\nMACN, Room 101']",A. Schwan,4 / 10,0.50,Graduate,,,Yes,,,Yes,,,,,Yes,1
Fall 2022,Open,CHEM*7660*01 (7152) Organic Spectroscopy,Guelph,"['LEC Tues\n01:00PM - 03:50PM\nAD-S, Room VIRTUAL']",G. Murphy,6 / 10,0.50,Graduate,,Yes,,,,Yes,,,,,Yes,1
Fall 2022,Open,CHEM*7700*01 (7153) Principles of Polymer Science,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nAD-S, Room VIRTUAL']",J. Duhamel,5 / 5,0.50,Graduate,,Yes,,Yes,,Yes,,,,Yes,Yes,2
Fall 2022,Open,CHEM*7730*01 (7154) Topics: Polymer Chemistry,Guelph,"['LEC Mon, Wed, Fri\n08:30AM - 09:20AM\nAD-S, Room VIRTUAL']",X. Wang,10 / 10,0.50,Graduate,Yes,,Yes,,Yes,Yes,,,,Yes,Yes,3
Fall 2022,Open,CHEM*7840*01 (7155) Chem and Biochem Lit Review,Guelph,"['LEC Tues\n07:00PM - 09:50PM\nAD-S, Room VIRTUAL']",E. Meiering,14 / 25,0.50,Graduate,,Yes,,,,Yes,,,,,Yes,1
Fall 2022,Open,CHEM*7940*01 (7156) Master's Seminar,Guelph,['LEC Days TBA\nTimes TBA\nRoom TBA'],M. Monteiro,72 / 75,0.50,Graduate,,,,,,Yes,,,,,,0
Fall 2022,Open,CHEM*7950*01 (7157) PhD Seminar,Guelph,['LEC Days TBA\nTimes TBA\nRoom TBA'],M. Monteiro,74 / 75,0.00,Graduate,,,,,,Yes,,,,,,0
Fall 2022,Open,CHEM*7970*01 (7158) MSc Research Paper,Guelph,['LEC Days TBA\nTimes TBA\nRoom TBA'],M. Schlaf,72 / 75,0.50,Graduate,,,,,,Yes,,,,,,0
Fall 2022,Open,CHEM*7980*01 (7159) MSc Thesis,Guelph,['LEC Days TBA\nTimes TBA\nRoom TBA'],M. Schlaf,67 / 75,0.00,Graduate,,,,,,Yes,,,,,,0
Fall 2022,Open,CHEM*7990*01 (7160) PhD Thesis,Guelph,['LEC Days TBA\nTimes TBA\nRoom TBA'],M. Schlaf,71 / 75,0.00,Graduate,,,,,,Yes,,,,,,0
Fall 2022,Closed,CIS*1200*DE01 (7161) Introduction to Computing,Guelph,"['Distance Education Days TBA\nTimes TBA\nRoom TBA', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/13)\nRoom TBA']",TBA  TBA,0 / 400,0.50,Undergraduate,,,,,,,,,Yes,,,0
Fall 2022,Closed,CIS*1250*0101 (7162) Software Design I,Guelph,"['LEC Mon, Wed, Fri\n04:30PM - 05:20PM\nLA, Room 204', 'LAB Wed\n02:30PM - 04:20PM\nTHRN, Room 2420', 'EXAM Tues\n11:30AM - 01:30PM (2022/12/13)\nRoom TBA']",R. Chaturvedi,0 / 27,0.50,Undergraduate,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,4
Fall 2022,Closed,CIS*1250*0102 (7163) Software Design I,Guelph,"['LEC Mon, Wed, Fri\n04:30PM - 05:20PM\nLA, Room 204', 'LAB Tues\n08:30AM - 10:20AM\nTHRN, Room 2420', 'EXAM Tues\n11:30AM - 01:30PM (2022/12/13)\nRoom TBA']",R. Chaturvedi,0 / 27,0.50,Undergraduate,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,4
Fall 2022,Closed,CIS*1250*0103 (7164) Software Design I,Guelph,"['LEC Mon, Wed, Fri\n04:30PM - 05:20PM\nLA, Room 204', 'LAB Thur\n08:30AM - 10:20AM\nTHRN, Room 2420', 'EXAM Tues\n11:30AM - 01:30PM (2022/12/13)\nRoom TBA']",R. Chaturvedi,0 / 27,0.50,Undergraduate,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,4
Fall 2022,Closed,CIS*1250*0104 (9440) Software Design I,Guelph,"['LEC Mon, Wed, Fri\n04:30PM - 05:20PM\nLA, Room 204', 'LAB Fri\n02:30PM - 04:20PM\nTHRN, Room 2420', 'EXAM Tues\n11:30AM - 01:30PM (2022/12/13)\nRoom TBA']",R. Chaturvedi,0 / 27,0.50,Undergraduate,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,4
Fall 2022,Closed,CIS*1300*0101 (7165) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Fri\n11:30AM - 01:20PM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1300*0102 (7166) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Mon\n08:30AM - 10:20AM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,CIS*1300*0103 (7167) Programming,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nROZH, Room 101', 'LAB Fri\n08:30AM - 10:20AM\nREYN, Room 0002', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/09)\nRoom TBA']",R. Chaturvedi,0 / 33,0.50,Undergraduate,,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,3
